City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
240,qeshm,26.9581,56.2719,35.94,77,1,5.09,IR,1689488752
241,mount isa,-20.7333,139.5,25.87,31,100,4.12,AU,1689488752
242,port douglas,-16.4833,145.4667,23.35,74,38,7.21,AU,1689488748
243,badger,64.8,-147.5333,16.95,82,100,3.09,US,1689488752
244,carutapera,-1.195,-46.02,24.08,88,28,3.0,BR,1689488752
245,kepsut,39.6889,28.1522,26.08,46,0,4.49,TR,1689488772
246,dunedin,-45.8742,170.5036,9.33,62,71,1.34,NZ,1689488772
247,connell,46.6635,-118.8611,29.07,16,99,0.84,US,1689488772
248,aketi,2.7388,23.7833,23.25,87,95,0.72,CD,1689488772
249,nanpiao,41.0982,120.7479,27.29,45,84,6.51,CN,1689488772
250,kharp,66.8014,65.8081,19.57,47,43,2.81,RU,1689488772
251,pontes e lacerda,-15.2261,-59.3353,17.58,74,4,0.97,BR,1689488772
252,avarua,-21.2078,-159.775,23.03,83,40,3.09,CK,1689488772
253,nikolayevsk-on-amure,53.1406,140.73,23.98,39,100,3.45,RU,1689488773
254,santa rosa,14.3122,121.1114,30.61,75,100,4.32,PH,1689488773
255,hithadhoo,-0.6,73.0833,28.13,71,2,0.4,MV,1689488793
256,palmer,42.1584,-72.3287,24.92,90,75,3.09,US,1689488793
257,atasu,48.6814,71.6433,27.74,24,9,4.45,KZ,1689488793
258,bandon,51.7469,-8.7425,11.77,89,53,2.45,IE,1689488793
259,bel ombre,-4.6167,55.4167,27.91,74,40,6.17,SC,1689488793
260,broome,42.2506,-75.833,21.59,88,100,3.6,US,1689488793
261,gejiu,23.306,103.1635,23.97,39,99,2.13,CN,1689488793
262,umluj,25.0213,37.2685,34.76,36,6,2.85,SA,1689488793
263,lebu,-37.6167,-73.65,7.08,81,93,5.87,CL,1689488794
264,horta,38.5333,-28.6333,18.9,84,75,3.58,PT,1689488794
265,arkhangel'sk,64.5401,40.5433,21.89,55,72,2.13,RU,1689488668
266,maues,-3.3836,-57.7186,23.3,81,47,1.13,BR,1689488794
267,san patricio,28.017,-97.5169,28.92,89,82,5.04,US,1689488794
268,north walsham,52.8212,1.3875,17.19,75,40,7.72,GB,1689488795
269,egilsstadir,65.2653,-14.3948,5.95,93,75,3.09,IS,1689488814
270,mocajuba,-2.5842,-49.5072,22.44,97,23,1.54,BR,1689488814
271,broken hill,-31.95,141.4333,13.32,47,0,5.7,AU,1689488661
272,rio grande,-32.035,-52.0986,5.53,82,85,3.36,BR,1689488814
273,qaryat suluq,31.6682,20.2521,31.19,27,0,2.85,LY,1689488814
